"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
27012,"5: 26-30","1: 0-4","1: 0","2","2: 2+","1: 1","1","1: 0-5k","1: 0","1: 0","3: 14-20",84,0,0,1.7778,0,0.9941,0.2071,-0.0095,-0.1053,-0.3275,-0.1053,-0.0012
16774,"4: 23-25","1: 0-4","1: 0","1","1: 1","2: >1","3","1: 0-5k","1: 0","1: 0","1: 0-6",156,0.0032,0.0833,1.5833,0.0833,0.6869,0.2487,-0.0101,-0.3013,0.3526,-0.3013,-0.1615
10665,"3: 21-22","1: 0-4","2: 1-4","1","2: 2+","1: 1","1","1: 0-5k","2: 1+","1: 0","2: 7-13",37,0.0541,0.5,2.125,0.5,0.9595,0.1212,0.0339,0.3667,0.525,0.3667,-0.0304
98287,"8: 51-60","4: 20+","4: 10+","1","2: 2+","1: 1","1","3: 10k+","1: 0","1: 0","2: 7-13",101,0.0792,0.4324,1.7297,0.4324,0.995,0.179,0.0247,0.1632,-0.6357,0.1632,0.0028
56460,"6: 31-40","3: 10-19","4: 10+","1","2: 2+","1: 1","1","1: 0-5k","2: 1+","1: 0","2: 7-13",73,0.0548,0.381,1.9524,0.381,0.9932,0.3436,-0.0372,0.0321,-0.0941,0.0321,0.0116
6439,"2: 19-20","1: 0-4","2: 1-4","1","1: 1","2: >1","2","1: 0-5k","1: 0","1: 0","3: 14-20",32,0.0159,0.1667,1.3333,0.1667,0.9048,-0.3942,0.0095,0,0.1667,0,-0.0504
55334,"6: 31-40","3: 10-19","3: 5-9","2","1: 1","1: 1","1","2: 5k-10k","1: 0","2: 1+","2: 7-13",37,0.0811,0.3,1.25,0.3,1,-0.0976,-0.0002,-0.1,-0.67,-0.1,0
81263,"7: 41-50","4: 20+","4: 10+","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","3: 14-20",632,0.0507,0.2909,1.8455,0.2909,0.9842,0.3111,-0.031,-0.0561,-0.2663,-0.0561,0.0042
37394,"5: 26-30","3: 10-19","2: 1-4","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","4: 21-27",92,0.0273,0.2632,2,0.2632,0.9891,-0.0161,0.0022,0.1076,0,0.1076,0.007
42934,"6: 31-40","1: 0-4","2: 1-4","1","1: 1","1: 1","1","2: 5k-10k","1: 0","1: 0","1: 0-6",1643,0.0575,0.2949,1.7504,0.2949,0.9954,0.2584,0.0085,0.0263,-0.265,0.0263,0.0108
33499,"5: 26-30","2: 5-9","2: 1-4","2","2: 2+","2: >1","1","2: 5k-10k","1: 0","1: 0","5: 28+",332,0.0136,0.3462,2.1538,0.3462,0.9834,-0.2057,0.008,0.2314,0.1047,0.2314,0.0058
